Order ID,Order Date,Year,Country,Region,Category,Product,Customer Segment,Units,Revenue,Cost,Profit,Profit Margin
ORD-10001,2024-01-24,2024,United States,North America,Office Supplies,Printer Paper,Consumer,109,13464.48,11353.45,2111.03,0.15678528857785862
ORD-10002,2024-02-08,2024,United States,North America,Technology,Laptop,Home Office,69,40117.75,30439.6,9678.14,0.2412434287833911
ORD-10003,2024-03-14,2024,United States,North America,Office Supplies,Printer Paper,Home Office,40,6369.9,5005.73,1364.17,0.2141589968308283
ORD-10004,2024-04-26,2024,United States,North America,Technology,Headphones,Home Office,50,46707.88,35928.64,10779.24,0.2307798511613673
ORD-10005,2024-05-11,2024,United States,North America,Technology,Headphones,Corporate,50,31876.28,20883.25,10993.03,0.34486556866481366
ORD-10006,2024-06-09,2024,United States,North America,Technology,Laptop,Corporate,27,19705.49,14359.89,5345.6,0.2712746866974765
ORD-10007,2024-07-18,2024,United States,North America,Technology,Headphones,Home Office,30,30252.16,21919.98,8332.17,0.2754241252650023
ORD-10008,2024-08-08,2024,United States,North America,Furniture,Bookshelf,Home Office,39,21404.91,17648.37,3756.54,0.1754989260386794
ORD-10009,2024-09-27,2024,United States,North America,Furniture,Office Chair,Consumer,27,12358.96,9585.5,2773.47,0.22440923628421228
ORD-10010,2024-10-22,2024,United States,North America,Furniture,Desk,Corporate,60,24589.77,19621.72,4968.05,0.20203733864589354
ORD-10011,2024-11-06,2024,United States,North America,Office Supplies,Printer Paper,Home Office,96,11050.77,8647.28,2403.49,0.217495215754042
ORD-10012,2024-12-11,2024,United States,North America,Furniture,Storage Cabinet,Corporate,96,52246.64,41987.82,10258.83,0.19635382087643222
ORD-10013,2024-01-07,2024,Canada,North America,Technology,Smartphone,Consumer,118,46550.31,34348.13,12202.18,0.2621289051170843
ORD-10014,2024-02-21,2024,Canada,North America,Office Supplies,Binders,Consumer,98,7714.11,5892.33,1821.78,0.23616197846640435
ORD-10015,2024-03-09,2024,Canada,North America,Furniture,Desk,Corporate,32,7471.16,5697.78,1773.39,0.23736417609957813
ORD-10016,2024-04-05,2024,Canada,North America,Office Supplies,Desk Organizer,Home Office,66,4787.63,3592.26,1195.37,0.24967909335869928
ORD-10017,2024-05-21,2024,Canada,North America,Office Supplies,Desk Organizer,Consumer,111,6479.1,5551.56,927.53,0.1431578956420791
ORD-10018,2024-06-15,2024,Canada,North America,Technology,Headphones,Home Office,23,9475.11,6618.3,2856.81,0.3015066114033353
ORD-10019,2024-07-18,2024,Canada,North America,Office Supplies,Binders,Home Office,16,1389.8,1190.02,199.78,0.1437462091580424
ORD-10020,2024-08-24,2024,Canada,North America,Furniture,Bookshelf,Consumer,52,13666.82,10599.34,3067.47,0.22444684475950466
ORD-10021,2024-09-28,2024,Canada,North America,Office Supplies,Binders,Home Office,112,7200.41,5475.8,1724.61,0.2395153407213785
ORD-10022,2024-10-25,2024,Canada,North America,Office Supplies,Binders,Home Office,79,6608.64,5628.31,980.33,0.14834071222595616
ORD-10023,2024-11-12,2024,Canada,North America,Technology,Laptop,Home Office,56,24535.2,18562.74,5972.46,0.24342412703850735
ORD-10024,2024-12-03,2024,Canada,North America,Furniture,Desk,Consumer,45,14938.63,10701.53,4237.1,0.2836339334357592
ORD-10025,2024-01-22,2024,Mexico,North America,Office Supplies,Desk Organizer,Consumer,112,7187.87,6144.97,1042.9,0.14509126138245296
ORD-10026,2024-02-07,2024,Mexico,North America,Furniture,Desk,Corporate,82,21720.13,16924.84,4795.3,0.2207765528241064
ORD-10027,2024-03-12,2024,Mexico,North America,Office Supplies,Pens,Home Office,54,3205.64,2530.53,675.12,0.21060243515659394
ORD-10028,2024-04-19,2024,Mexico,North America,Furniture,Storage Cabinet,Consumer,46,8465.94,6683.27,1782.68,0.2105702674576946
ORD-10029,2024-05-02,2024,Mexico,North America,Office Supplies,Pens,Home Office,43,1946.13,1527.83,418.3,0.21494091358581444
ORD-10030,2024-06-22,2024,Mexico,North America,Technology,Laptop,Consumer,57,15178.24,11253.74,3924.49,0.2585605561242794
ORD-10031,2024-07-19,2024,Mexico,North America,Furniture,Desk,Home Office,31,7634.51,5528.25,2106.25,0.2758859690168886
ORD-10032,2024-08-22,2024,Mexico,North America,Furniture,Desk,Corporate,118,24402.53,19977.88,4424.64,0.18131909557902587
ORD-10033,2024-09-22,2024,Mexico,North America,Furniture,Bookshelf,Corporate,67,14357.07,10660.28,3696.79,0.25748910193518215
ORD-10034,2024-10-04,2024,Mexico,North America,Office Supplies,Printer Paper,Consumer,66,4700.24,3637.65,1062.59,0.22607110130340377
ORD-10035,2024-11-09,2024,Mexico,North America,Technology,Smartphone,Consumer,83,28422.56,20446.46,7976.1,0.28062579678012844
ORD-10036,2024-12-04,2024,Mexico,North America,Furniture,Desk,Consumer,71,18235.72,13262.55,4973.17,0.2727160270962048
ORD-10037,2024-01-16,2024,Brazil,South America,Technology,Laptop,Consumer,111,55769.48,41829.49,13939.99,0.24995733327246955
ORD-10038,2024-02-13,2024,Brazil,South America,Furniture,Desk,Corporate,22,4612.28,3827.0,785.28,0.17025864540217114
ORD-10039,2024-03-26,2024,Brazil,South America,Furniture,Storage Cabinet,Corporate,69,19905.46,14776.6,5128.85,0.25766063808985595
ORD-10040,2024-04-19,2024,Brazil,South America,Office Supplies,Desk Organizer,Consumer,39,2578.75,1943.74,635.0,0.246245123796299
